Word,Meaning
עייף,tired
רגיל,"regular, ordinary"
אמיתי,"real, true"
מיוחד,special
זקן,old (people)
צעיר,young
פתוח,open
סגור,closed
נקי,clean
מלוכלך,dirty
חשוב,important
מרכזי,central
זול,cheap
יקר,expensive
חזק,strong
חלש,weak
עני,poor
עשיר,rich
אפשרי,possible
בלתי אפשרי,impossible
נהדר,"wonderful, great"
פרטי,private
חי,alive
נחמד,nice
הכרחי,necessary
עצמאי,independent
אחראי,responsible
חופשי,free
פשוט,simple
מצוין,excellent
מגעיל,"disgusting, nasty"
מושלם,perfect
שגוי,incorrect
נכון,correct
משעמם,boring
מעניין,interesting
רציני,serious
מפורסם,famous
שלילי,negative
חיובי,positive
קשה,"hard, difficult"
קל,"light, easy"
יעיל,efficient
נוח,comfortable
מקצועי,professional
צבאי,military (adj.)
מוכר,familiar
רזה,thin
שמן,fat
רבות,many
