Word,Meaning
בית,"house, home"
מפתח,key
מיטה,bed
ספה,"sofa, couch"
כיסא,chair
שולחן,table
שירותים,toilet
מדרגות,stairs
חלון,window
דירה,apartment
דלת,door
אמבטיה,"bath, bathtub"
חדר,room
מזגן,air-conditioner
צעצוע,toy
אור,light
מנורה,lamp
גג,roof
דוד,boiler
בניין,building
קיר,wall
חדר שינה,bedroom
מרפסת,"balcony, porch"
מרתף,basement
שער,gate
כלי עבודה,"tool, instrument"
מראה,mirror
רהיט,a piece of furniture
כתובת,address
סלון,"living room, lounge"
מכשיר,"appliance, instrument"
רצפה,floor
שטיח,carpet
תקרה,ceiling
עליית גג,attic
חדר אורחים,"guest room, lounge"
חדר אוכל,dining room
וילון,curtain
ארון,"closet, cupboard"
כרית,pillow
שמיכה,"blanket, quilt"
שואב אבק,vacuum (cleaner)
כלים,"dishes, instruments, tools"
ברז,"tap, faucet"
כיור,sink
סמרטוט,rag
גינה,garden
חצר,yard
כביסה,laundry
מכונת כביסה,washing machine
שכן,neighbor
מקלט,shelter
מטאטא,broom
אשפה,"garbage, rubbish"
מקרר,refrigerator
מעלית,"elevator, lift"
לנקות,to clean
לעבור,to pass
לשאוב,"to pump, to vacuum"
לשוטפ,"wash, clean, rinse"
