Word,Meaning
עלון,"flyer, pamphlet"
מגזין,magazine
טלוויזיה,TV
מחשב,computer
שעון,watch
רדיו,radio
חפץ,object
שולחן עבודה,desk
שעון יד,(wrist) watch
ארנק,"wallet, purse"
סוללה,battery
סל,basket
טלפון נייד,mobile phone
סבון,soap
קופסה,box
מסך,"screen, monitor"
טלפון,telephone
תיק,bag
מצעים,linen
גלגל,wheel
בריכה,pool
מספריים,scissors
מכתב,letter
מטרייה,umbrella
פעמון,bell
ספוג,sponge
מחבת,pan
ספל,mug
שורש,root
עצם,"object, bone"
מכונה,machine
נייר,paper
דגל,flag
שרשרת,chain
חוט,string
חתיכה,piece
מנוע,engine
מסרק,comb
אבקה,powder
גדר,fence
מתנה,"gift, present"
קניות,shopping
נר,candle
רומן,novel
