Word,Meaning
חיפוש,search
אתר,"site, website"
עמוד-בית,homepage
אינטרנט,Internet
דפדפן,browser
סיסמא,password
נתונים,data
מקלדת,keyboard
באג,bug
מתכנת,programmer
חומרה,hardware
תוכנה,software
מחשב נייד,laptop
קובץ,file
מייל,e-mail
להוריד,to download
רשת,network
להעלות,to upload
בלוג,blog
הורדה,download (noun)
העלאה,upload (noun)
ערוץ,channel
הודעה,message
תקשורת,"communication, media"
חדשות,news
מידע,information
טקסט,text
שלט,remote (controller)
לכבות,to turn off
ללחוץ,"to press, to squeeze"
רובוט,robot
להדליק,to turn on
בול,stamp
גלויה,postcard
