Word,Meaning
מחקר,research
טכנולוגיה,technology
מדע,science
פרויקט,project
שיטה,"system, method"
תזה,thesis
אנרגיה,energy
גודל,size
מרחק,distance
מהירות,"speed, velocity"
דגימה,sample
משקל,weight
מהדורה,edition
הפצה,distribution
מסה,mass
ניסוי,experiment
מאמר,article
הגדרה,definition
עיקרון,principle
מעבדה,lab
מד-חום,thermometer
נוסחה,"formula, equation"
מחצב,mineral
איכות,quality
גנטיקה,genetics
גיאוגרפיה,geography
ביולוגיה,biology
כימיה,chemistery
פיזיקה,physics
פילוסופיה,philosophy
חקירה,investigation
חשמלי,electric
מחזור,cycle
מדען,scientist
תא,cell
תגלית,discovery
סיבה,"reason, motive"
כוח-משיכה,gravity
תאוריה,theory
עובדה,fact
להגביר,to increase
להנמיך,to decrease
טון,"ton, tonne"
קילוגרם,kilogram
גרם,gram
אלכוהול,alcohol
