Word,Meaning
חוף ים,beach
בית מלון,hotel
ישראל,Israel
לפנות,to turn
קדימה,forward
אחורה,backward
ימין,right
שמאל,left
שדה תעופה,airport
רחוב,"street, road"
עיר,city
טירה,castle
מדינה,"country, state"
בית כנסת,synagogue
לאורך,along
כנסייה,church
מקום,"place, space"
מסגד,mosque
הביתה,"homebound, home"
נכס,"asset, property"
מרכז,center
משרד,office
איזור,area
פארק,park
מבנה,structure
ירושלים,Jerusalem
מכולת,grocery
חנות,"store, shop"
סופרמרקט,supermarket
מחוז,district
אי,island
בנק,bank
בר,bar
קרקע,"ground, soil"
קניון,"mall, canyon"
תחנה,station
עמק,valley
תל אביב,Tel Aviv
מוזיאון,museum
פינה,corner
ברחבי,across
כפר,village
מסלול,"course, path, route"
שכונה,neighborhood
שדרה,avenue
שטח,"area, perimeter"
גבול,border
בית כלא,"prison, jail"
מגדל,tower
ארמון,palace
עיירה,town
בית קולנוע,cinema
עיר בירה,capital city
קהילה,community
נמל,port
גשר,bridge
מערב,west
מזרח,east
צפון,north
דרום,south
כיכר,"square, roundabout"
חווה,farm
גן חיות,zoo
שוק,market
לתוך,"into, inside"
מתוך,"from, out of"
