Word,Meaning
אדם,"man, Adam"
חבר,friend (m)
חברה,friend (f)
ידיד,friend (m) - casual
ידידה,friend (f) - casual
ציבור,public
ועדה,committee
כנס,convention
אויב,enemy
תרבות,culture
מערכת יחסים,relationship
אוכלוסייה,population
נוער,youth
אנשים,people
פרט,individual
נער,"boy, teenager"
קורבן,victim
אזרח,citizen
זוג,couple
ישראלי,Israeli
צרפתי,French
אמריקאי,American
אנגלי,English
אוסטרלי,Australian
רוסי,Russian
ספרדי,"Spanish, Spaniard"
עַם,nation
קרן,foundation
בן אדם,human being
בחורות,young woman
בחור,young man
מבגר,adult
