Title,Word,Meaning,Source,Niqqud,Here is a list of words with their translations. Return just a list of Hebrew words with vowels/niqqud. Do not include the English translation
Letters 1,באה,"comes (f,s)",Primary,בָּאָה,
Letters 1,אבא,dad,Primary,אַבָּא,
Letters 1,אהבה,love,Primary,אַהֲבָה,
Letters 1,בא,"comes (m,s)",Primary,בָּא,
Letters 1,אמא,mom,Primary,אִמָּא,
Letters 1,אוהבת,"loves (f,s)",Primary,אוֹהֶבֶת,
Letters 1,אתה,"you (m,s)",Primary,אַתָּה,
Letters 1,את,"you (f,s)",Primary,אַת,
Letters 1,מים,water,Primary,מַיִם,
Letters 1,היא,she,Primary,הִיא,
Letters 1,אני,I,Primary,אֲנִי,
Letters 1,יין,wine,Primary,יַיִן,
Letters 1,יונה,pigeon,Primary,יוֹנָה,
Letters 1,אוהב,"loves (m,s)",Primary,אוֹהֵב,
Letters 1,חלב,milk,Primary,חָלָב,
Letters 1,לחם,bread,Primary,לֶחֶם,
Letters 1,חם,"hot (m,s)",Primary,חָם,
Letters 1,לא,no,Primary,לֹא,
Letters 1,האם,Is...?,Secondary,הַאִם,
Letters 1,או,or,Secondary,אוֹ,
Letters 1,הוא,he,Secondary,הוּא,
Letters 2,כלב,dog,Primary,כֶּלֶב,
Letters 2,הולך,"walks, goes (m,s)",Primary,הוֹלֵךְ,
Letters 2,הולכת,"walks, goes (f,s)",Primary,הוֹלֶכֶת,
Letters 2,אוכל,"eats (m,s)",Primary,אוֹכֵל,
Letters 2,מלך,king,Primary,מֶלֶךְ,
Letters 2,אוכלת,"eats (f,s)",Primary,אוֹכְלָה,
Letters 2,כן,yes,Primary,כֵּן,
Letters 2,דרך,road,Primary,דֶּרֶךְ,
Letters 2,רואָה,"sees (f,s)",Primary,רוֹאָה,
Letters 2,רואֶה,"sees (m,s)",Primary,רוֹאֶה,
Letters 2,ילדה,girl,Primary,יַלְדָּה,
Letters 2,ילד,boy,Primary,יַלְד,
Letters 2,אישה,woman,Primary,אִשָּׁה,
Letters 2,שותָה,"drinks (f,s)",Primary,שׁוֹתָה,
Letters 2,שותֶה,"drinks (m,s)",Primary,שׁוֹתֶה,
Letters 2,משאית,truck,Primary,מַשָּׁאִית,
Letters 2,שמח,happy,Primary,שָׂמֵחַ,
Letters 2,אגוז,nut,Primary,אֱגוֹז,
Letters 2,אורז,rice,Primary,אוֹרֶז,
Letters 2,זאת,this (f),Primary,זֹאת,
Letters 2,זה,this (m),Primary,זֶה,
Letters 2,גבר,man,Primary,גֶּבֶר,
